time,voltage_v,current_ma,power_w,cpu,s_on,br,net_kbps,temp_c
137.05,3.726718,873.75,3.2562198525,0.4972,1,13,14.10,33.8
138.21,3.724062,931.875,3.47036027625,0.5117,1,13,14.26,33.8
139.14,3.725937,1014.375,3.779497344375,0.4930,1,13,13.98,33.8
140.09,3.71875,1102.187,4.0987579062499995,0.4634,1,13,14.75,33.8
141.14,3.729375,757.187,2.823834268125,0.5079,1,13,14.31,33.9
142.09,3.721875,943.125,3.5101933593749997,0.5079,1,13,14.30,33.9
143.29,3.715625,1122.187,4.169626071874999,0.5075,1,13,12.95,33.8
144.05,3.730312,825.937,3.081002702344,0.5054,1,13,14.86,33.8
145.09,3.711875,1203.125,4.465849609375,0.5044,1,13,14.92,33.8
146.13,3.721718,964.062,3.587966898516,0.4849,1,13,12.92,33.8
147.08,3.717187,942.5,3.5034487475000002,0.5024,1,13,14.24,33.8
148.22,3.72625,722.187,2.69104930875,0.4958,1,13,12.89,33.8
149.19,3.719687,1030.0,3.83127761,0.4736,1,13,14.16,33.7
150.14,3.730156,720.0,2.68571232,0.4868,1,13,13.96,33.7
151.14,3.719687,1049.062,3.9021822835939997,0.5067,1,13,13.81,33.7
152.19,3.722812,936.875,3.4878094925,0.4941,1,13,14.28,33.8
153.17,3.72375,834.062,3.1058383724999996,0.4899,1,13,14.02,33.8
154.70,3.730312,733.75,2.73711643,0.4766,1,13,14.34,33.8
155.16,3.705625,1155.625,4.282312890625,0.4843,1,13,15.78,33.8
156.20,3.726718,835.937,3.115301464766,0.4926,1,13,13.79,33.8
157.32,3.72625,780.0,2.906475,0.4694,1,13,15.71,33.8
158.29,3.71625,1079.375,4.01122734375,0.4857,1,13,13.54,33.8
159.23,3.729843,781.875,2.9162709956249997,0.4755,1,13,14.29,33.8
160.18,3.717656,940.0,3.4945966399999997,0.5025,1,13,13.96,33.8
161.28,3.718125,1107.812,4.118983492499999,0.4926,1,13,14.14,33.8
162.24,3.716875,1121.875,4.169869140625,0.4742,1,13,14.49,33.8
163.39,3.718906,1014.062,3.771201256172,0.4800,1,13,13.72,33.7
164.41,3.726718,911.562,3.397134513516,0.4564,1,13,14.27,33.7
165.27,3.714062,1081.25,4.0158295375,0.5102,1,13,14.33,33.7
166.38,3.726718,790.937,2.947599154766,0.4746,1,13,14.66,33.7
167.35,3.720937,1053.437,3.919772710469,0.5085,1,13,15.36,33.7
168.35,3.732187,750.625,2.801472866875,0.4689,1,13,13.45,33.7
169.48,3.722656,859.062,3.197992308672,0.4894,1,13,12.70,33.7
170.40,3.719531,1148.437,4.271647023047,0.4941,1,13,13.35,33.7
171.37,3.713437,1183.437,4.394618742969,0.4939,1,13,15.11,33.7
172.74,3.720312,1050.0,3.9063276,0.5462,1,13,14.19,33.7
173.44,3.69125,1414.687,5.22196338875,0.6509,1,13,13.16,33.7
174.34,3.625,2706.562,9.81128725,0.9093,1,13,13.30,33.9
175.56,3.591562,3261.562,11.714102139844,0.9632,1,13,13.08,33.9
