time,voltage_v,current_ma,power_w,cpu,s_on,br,net_kbps,temp_c
171.83,3.702968,598.437,2.215993061016,0.3860,1,20,2088.65,32.4
172.74,3.715468,380.625,1.4142000074999999,0.4102,1,20,2118.65,32.4
173.80,3.71875,411.562,1.5304961875,0.3497,1,20,643.75,32.4
174.83,3.719843,366.562,1.363553089766,0.3147,1,20,14.42,32.4
175.80,3.719531,399.062,1.484323479922,0.3236,1,20,14.79,32.4
176.87,3.721875,379.062,1.41082138125,0.3107,1,20,13.68,32.4
177.81,3.718906,464.375,1.72696697375,0.3121,1,20,13.76,32.4
179.06,3.718593,418.437,1.555996899141,0.3340,1,20,18.96,32.4
179.95,3.71375,557.812,2.071574315,0.3538,1,20,1601.02,32.4
181.11,3.715,393.75,1.46278125,0.3990,1,20,1647.78,32.4
182.27,3.704843,725.625,2.688326701875,0.3872,1,20,2368.32,32.4
182.89,3.702343,618.125,2.288510766875,0.3739,1,20,1527.42,32.3
184.11,3.720937,389.375,1.4488398443750001,0.3362,1,20,208.42,32.3
185.37,3.711093,561.562,2.084008807266,0.3803,1,20,1829.46,32.3
185.93,3.717812,423.75,1.575422835,0.3474,1,20,1475.10,32.3
186.87,3.716718,385.937,1.4344189947660002,0.3550,1,20,609.44,32.3
187.93,3.718437,406.875,1.512939054375,0.3472,1,20,15.17,32.3
188.93,3.717187,382.187,1.420660547969,0.3166,1,20,14.58,32.3
189.91,3.718906,440.0,1.63631864,0.3091,1,20,14.64,32.3
191.29,3.719843,430.312,1.600693081016,0.3359,1,20,87.34,32.2
192.18,3.718125,423.437,1.5743916956250001,0.3378,1,20,945.07,32.2
193.12,3.712031,619.375,2.299139200625,0.3600,1,20,980.56,32.2
193.98,3.713281,440.312,1.6350021836720001,0.3754,1,20,1041.92,32.3
194.99,3.700937,756.562,2.799988298594,0.3532,1,20,532.36,32.3
196.00,3.711406,584.062,2.167691211172,0.3267,1,20,13.58,32.3
197.05,3.714062,395.0,1.4670544900000002,0.3072,1,20,15.09,32.1
198.00,3.7175,370.312,1.37663486,0.3486,1,20,13.60,32.1
199.19,3.722031,336.875,1.2538591931249998,0.3303,1,20,14.26,32.1
200.16,3.71875,458.75,1.7059765625,0.3374,1,20,262.39,32.1
201.19,3.714218,532.187,1.9766585347659997,0.3672,1,20,1310.73,32.1
202.11,3.704218,676.25,2.5049774225,0.3976,1,20,1327.61,32.1
203.14,3.713125,392.187,1.4562393543749999,0.3687,1,20,1207.52,32.1
204.17,3.71,589.062,2.18542002,0.3991,1,20,1441.99,32.1
